Ticker,Name,Sector,Weight (%),Market Value,Price
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,0.75,"563,265,731.50",144.70
BE,BLOOM ENERGY CLASS A CORP,Industrials,0.65,"490,500,094.56",88.41
FN,FABRINET,Information Technology,0.58,"433,394,932.32",472.08
IONQ,IONQ INC,Information Technology,0.52,"388,688,404.75",45.25
SATS,ECHOSTAR CORP CLASS A,Communication,0.5,"373,781,829.85",108.55
NXT,NEXTPOWER INC CLASS A,Industrials,0.44,"334,182,854.79",90.21
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,0.44,"328,217,303.94",77.47
GH,GUARDANT HEALTH INC,Health Care,0.42,"312,634,645.54",101.39
HL,HECLA MINING,Materials,0.41,"310,011,072.00",19.20
BBIO,BRIDGEBIO PHARMA INC,Health Care,0.41,"304,805,156.41",75.61
CDE,COEUR MINING INC,Materials,0.4,"297,790,708.99",18.31
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,0.37,"278,202,724.38",589.47
RMBS,RAMBUS INC,Information Technology,0.34,"256,925,815.98",93.57
SPXC,SPX TECHNOLOGIES INC,Industrials,0.34,"251,991,290.46",205.66
ENSG,ENSIGN GROUP INC,Health Care,0.33,"251,546,030.12",176.33
DY,DYCOM INDUSTRIES INC,Industrials,0.33,"244,847,143.50",343.50
AVAV,AEROVIRONMENT INC,Industrials,0.32,"239,094,306.00",249.15
GTLS,CHART INDUSTRIES INC,Industrials,0.32,"236,781,210.05",206.15
STRL,STERLING INFRASTRUCTURE INC,Industrials,0.31,"235,567,631.56",310.79
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,0.31,"234,392,508.42",69.62
QBTS,D WAVE QUANTUM INC,Information Technology,0.3,"222,174,505.55",26.15
UMBF,UMB FINANCIAL CORP,Financials,0.29,"219,580,803.36",117.16
IDCC,INTERDIGITAL INC,Information Technology,0.29,"217,398,268.64",330.26
RNA,AVIDITY BIOSCIENCES INC,Health Care,0.28,"211,947,701.28",72.17
CTRE,CARETRUST REIT INC,Real Estate,0.28,"211,883,668.04",37.07
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,0.28,"208,666,915.80",48.30
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,0.28,"208,317,361.14",217.26
JBTM,JBT MAREL CORP,Industrials,0.27,"206,051,538.63",155.37
ONB,OLD NATIONAL BANCORP,Financials,0.27,"205,464,977.04",22.79
OKLO,OKLO INC CLASS A,Utilities,0.27,"204,524,259.56",74.09
SANM,SANMINA CORP,Information Technology,0.27,"204,277,386.72",153.76
SITM,SITIME CORP,Information Technology,0.27,"202,116,999.51",369.21
HQY,HEALTHEQUITY INC,Health Care,0.27,"201,218,944.50",92.78
CMC,COMMERCIAL METALS,Materials,0.27,"200,229,507.10",70.55
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,0.26,"197,285,434.58",282.62
TTMI,TTM TECHNOLOGIES INC,Information Technology,0.25,"185,355,571.03",71.21
CYTK,CYTOKINETICS INC,Health Care,0.24,"182,923,136.50",61.75
LUMN,LUMEN TECHNOLOGIES INC,Communication,0.24,"182,896,454.80",7.55
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,0.24,"182,573,691.64",47.77
MOD,MODINE MANUFACTURING,Industrials,0.24,"181,216,729.23",136.19
RGTI,RIGETTI COMPUTING INC,Information Technology,0.24,"180,579,368.26",22.27
MOGA,MOOG INC CLASS A,Industrials,0.24,"179,169,051.60",249.48
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,0.24,"177,401,158.00",34.10
ORA,ORMAT TECH INC,Utilities,0.23,"175,290,439.74",112.62
PRIM,PRIMORIS SERVICES CORP,Industrials,0.23,"174,349,722.42",126.54
JXN,JACKSON FINANCIAL INC CLASS A,Financials,0.23,"174,253,954.28",107.66
PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,0.23,"174,131,736.38",304.58
CWAN,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology,0.23,"170,491,353.00",24.10
CADE,CADENCE BANK,Financials,0.23,"170,468,018.88",43.36
FSS,FEDERAL SIGNAL CORP,Industrials,0.23,"170,067,826.50",111.54
SMTC,SEMTECH CORP,Information Technology,0.22,"167,686,729.44",75.76
JOBY,JOBY AVIATION INC CLASS A,Industrials,0.22,"167,162,930.86",13.54
FLR,FLUOR CORP,Industrials,0.22,"165,293,327.60",40.40
GKOS,GLAUKOS CORP,Health Care,0.22,"164,167,084.75",115.55
FCFS,FIRSTCASH HOLDINGS INC,Financials,0.22,"163,132,598.40",161.16
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,0.22,"162,036,178.98",101.66
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,0.21,"161,216,799.00",143.30
KRYS,KRYSTAL BIOTECH INC,Health Care,0.21,"159,707,795.52",253.68
ESNT,ESSENT GROUP LTD,Financials,0.21,"159,045,305.00",65.75
PIPR,PIPER SANDLER COMPANIES,Financials,0.21,"157,278,577.50",348.75
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,0.21,"157,068,171.00",266.50
AXSM,AXSOME THERAPEUTICS INC,Health Care,0.21,"156,956,424.72",150.68
GATX,GATX CORP,Industrials,0.21,"156,613,159.34",172.33
TRNO,TERRENO REALTY REIT CORP,Real Estate,0.21,"156,287,267.08",59.89
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,0.2,"153,534,108.16",129.76
PTCT,PTC THERAPEUTICS INC,Health Care,0.2,"153,119,123.52",77.64
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,0.2,"152,902,974.79",96.97
